Arabic,EnglishOri,ArLength,EnLength,English
حلم,dream,3,5,Dream
مساء,evening,4,7,Evening
حالة,condition,4,9,Condition
علف,feed,3,4,Feed
أداة,tool,4,4,Tool
الكل,total,4,5,Total
الأساسية,basic,8,5,Basic
رائحة,smell,5,5,Smell
الوادي,valley,6,6,Valley
ولا,nor,3,3,Nor
ضعف,double,3,6,Double
مقعد,seat,4,4,Seat
تواصل,continue,5,8,Continue
كتلة,block,4,5,Block
جدول,chart,4,5,Chart
قبعة,hat,4,3,Hat
بيع,sell,3,4,Sell
نجاح,success,4,7,Success
شركة,company,4,7,Company
طرح,subtract,3,8,Subtract
حدث,event,3,5,Event
خاصة,particular,4,10,Particular
صفقة,deal,4,4,Deal
السباحة,swim,7,4,Swim
مصطلح,term,5,4,Term
العكس,opposite,5,8,Opposite
زوجة,wife,4,4,Wife
حذاء,shoe,4,4,Shoe
الكتف,shoulder,5,8,Shoulder
انتشار,spread,6,6,Spread
رتب,arrange,3,7,Arrange
مخيم,camp,4,4,Camp
اختراع,invent,6,6,Invent
قطن,cotton,3,6,Cotton
الولادة,born,7,4,Born
حدد,determine,3,9,Determine
رابعا,quart,5,5,Quart
تسعة,nine,4,4,Nine
شاحنة,truck,5,5,Truck
الضوضاء,noise,7,5,Noise
مستوى,level,5,5,Level
فرصة,chance,4,6,Chance
جمع,gather,3,6,Gather
متجر,shop,4,4,Shop
امتداد,stretch,6,7,Stretch
رمي,throw,3,5,Throw
تألق,shine,4,5,Shine
الملكية,property,7,8,Property
عمود,column,4,6,Column
جزيء,molecule,4,8,Molecule
اختر,select,4,6,Select
خاطئ,wrong,4,5,Wrong
رمادي,gray,5,4,Gray
كرر,repeat,3,6,Repeat
تتطلب,require,5,7,Require
واسع,broad,4,5,Broad
إعداد,prepare,5,7,Prepare
ملح,salt,3,4,Salt
الأنف,nose,5,4,Nose
الجمع,plural,5,6,Plural
غضب,anger,3,5,Anger
مطالبة,claim,6,5,Claim
القارة,continent,6,9,Continent
